"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
5796868,-142,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-12","2003-02-16",6,1,1,,,,"7314:112","POLYGON((-142 31,-143 31,-143 32,-142 32,-142 31))"
5796877,-144,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-12","2003-03-15",22,1,1,,,,"7314:113","POLYGON((-143 31,-144 31,-144 32,-143 32,-143 31))"
5796897,-144,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-14","2003-12-06",48,2,1,,,,"7314:114","POLYGON((-144 31,-145 31,-145 32,-144 32,-144 31))"
5796994,-145,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-12-08","2004-01-28",4,2,1,,,,"7314:215","POLYGON((-145 31,-146 31,-146 32,-145 32,-145 31))"
5796996,-146,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-12-10","2003-12-12",5,1,1,,,,"7314:216","POLYGON((-146 31,-147 31,-147 32,-146 32,-146 31))"
5796997,-147,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-12-14","2003-12-14",1,1,1,,,,"7314:217","POLYGON((-147 31,-148 31,-148 32,-147 32,-147 31))"
5796988,-148,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-12-16","2003-12-16",2,1,1,,,,"7314:207","POLYGON((-147 30,-148 30,-148 31,-147 31,-147 30))"
5796860,-144,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-19","2003-03-17",18,1,1,,,,"7314:104","POLYGON((-144 30,-145 30,-145 31,-144 31,-144 30))"
5796653,-150,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-21","2003-04-23",5,1,1,,,,"7214:499","POLYGON((-149 29,-150 29,-150 30,-149 30,-149 29))"
5796650,-149,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-27","2003-04-22",30,1,1,,,,"7214:489","POLYGON((-149 28,-150 28,-150 29,-149 29,-149 28))"
5796662,-150,28,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-26","2003-03-26",1,1,1,,,,"7215:380","POLYGON((-150 28,-151 28,-151 29,-150 29,-150 28))"
5796664,-152,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-22","2003-03-23",4,1,1,,,,"7215:381","POLYGON((-151 28,-152 28,-152 29,-151 29,-151 28))"
5796673,-150,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-25","2003-05-01",10,1,1,,,,"7215:390","POLYGON((-150 29,-151 29,-151 30,-150 30,-150 29))"
5796678,-152,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-15","2003-03-20",5,1,1,,,,"7215:391","POLYGON((-151 29,-152 29,-152 30,-151 30,-151 29))"
5797184,-151,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-20","2003-05-06",19,2,1,,,,"7315:101","POLYGON((-151 30,-152 30,-152 31,-151 31,-151 30))"
5797175,-150,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-05-02","2004-03-10",12,3,1,,,,"7315:100","POLYGON((-150 30,-151 30,-151 31,-150 31,-150 30))"
5796990,-148,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-12-18","2003-12-20",6,1,1,,,,"7314:208","POLYGON((-148 30,-149 30,-149 31,-148 31,-148 30))"
5796992,-149,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-12-22","2003-12-24",3,1,1,,,,"7314:209","POLYGON((-149 30,-150 30,-150 31,-149 31,-149 30))"
5796998,-149,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-02","2003-01-02",1,1,1,,,,"7314:218","POLYGON((-148 31,-149 31,-149 32,-148 32,-148 31))"
5797005,-149,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-06","2003-02-22",12,2,1,,,,"7314:219","POLYGON((-149 31,-150 31,-150 32,-149 32,-149 31))"
5797243,-150,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-10","2004-03-16",32,5,1,,,,"7315:110","POLYGON((-150 31,-151 31,-151 32,-150 32,-150 31))"
5797262,-151,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-14","2004-03-20",32,5,1,,,,"7315:111","POLYGON((-151 31,-152 31,-152 32,-151 32,-151 31))"
5797273,-152,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-14","2004-05-23",14,3,1,,,,"7315:112","POLYGON((-152 31,-153 31,-153 32,-152 32,-152 31))"
5797284,-153,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-15","2004-05-27",17,1,1,,,,"7315:113","POLYGON((-153 31,-154 31,-154 32,-153 32,-153 31))"
5797205,-152,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-01-22","2004-05-17",28,3,1,,,,"7315:102","POLYGON((-152 30,-153 30,-153 31,-152 31,-152 30))"
5797211,-153,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-01-09","2004-04-15",7,2,1,,,,"7315:103","POLYGON((-153 30,-154 30,-154 31,-153 31,-153 30))"
5797224,-154,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-01","2004-04-04",26,3,1,,,,"7315:104","POLYGON((-154 30,-155 30,-155 31,-154 31,-154 30))"
5797491,-155,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-03","2004-01-22",9,3,1,,,,"7315:205","POLYGON((-155 30,-156 30,-156 31,-155 31,-155 30))"
5797301,-154,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-16","2004-05-28",19,2,1,,,,"7315:114","POLYGON((-154 31,-155 31,-155 32,-154 32,-154 31))"
5797536,-155,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-04-29","2004-01-30",74,3,1,,,,"7315:215","POLYGON((-155 31,-156 31,-156 32,-155 32,-155 31))"
5797547,-156,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-13","2004-02-06",23,4,1,,,,"7315:216","POLYGON((-156 31,-157 31,-157 32,-156 32,-156 31))"
5797559,-157,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-02","2004-02-26",28,3,1,,,,"7315:217","POLYGON((-157 31,-158 31,-158 32,-157 32,-157 31))"
5797563,-158,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-15","2004-02-25",7,1,1,,,,"7315:218","POLYGON((-158 31,-159 31,-159 32,-158 32,-158 31))"
5797577,-159,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-09","2005-05-08",33,4,1,,,,"7315:219","POLYGON((-159 31,-160 31,-160 32,-159 32,-159 31))"
5797512,-158,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-01","2004-04-01",16,3,1,,,,"7315:208","POLYGON((-158 30,-159 30,-159 31,-158 31,-158 30))"
5797517,-159,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-09","2004-04-07",8,4,1,,,,"7315:209","POLYGON((-159 30,-160 30,-160 31,-159 31,-159 30))"
5797504,-157,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-23","2004-01-26",12,3,1,,,,"7315:207","POLYGON((-157 30,-158 30,-158 31,-157 31,-157 30))"
5797495,-156,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-02-15","2004-01-19",7,2,1,,,,"7315:206","POLYGON((-156 30,-157 30,-157 31,-156 31,-156 30))"
5796699,-158,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-22","2004-03-24",2,1,1,,,,"7215:497","POLYGON((-157 29,-158 29,-158 30,-157 30,-157 29))"
5796702,-158,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-14","2004-03-28",8,2,1,,,,"7215:498","POLYGON((-158 29,-159 29,-159 30,-158 30,-158 29))"
5796704,-160,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-24","2003-03-28",2,1,1,,,,"7215:499","POLYGON((-159 29,-160 29,-160 30,-159 30,-159 29))"
5796695,-159,29,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2003-03-18","2003-03-18",2,1,1,,,,"7215:488","POLYGON((-158 28,-159 28,-159 29,-158 29,-158 28))"
